Date,Daily cases,Total positives,Total positives variation,Total intensive care,Total hospitalized,Total deaths,Tests,Daily intensive care,Daily hospitalized,Daily deaths,Daily tests
2020-06-18,333,23101,-824,168,3035,34514,4831562,5.0,-241.0,66.0,58154.0
2020-06-19,251,21543,-1558,161,2793,34561,4889103,-7.0,-242.0,47.0,57541.0
2020-06-20,262,21212,-331,152,2626,34610,4943825,-9.0,-167.0,49.0,54722.0
2020-06-21,224,20972,-240,148,2462,34634,4984370,-4.0,-164.0,24.0,40545.0
2020-06-22,218,20637,-335,127,2165,34657,5013342,-21.0,-297.0,23.0,28972.0
2020-06-23,122,19573,-1064,115,1968,34675,5053827,-12.0,-197.0,18.0,40485.0
2020-06-24,190,18655,-918,107,1717,34644,5107093,-8.0,-251.0,-31.0,53266.0
2020-06-25,296,18303,-352,103,1618,34678,5163154,-4.0,-99.0,34.0,56061.0
2020-06-26,259,17638,-665,105,1461,34708,5215922,2.0,-157.0,30.0,52768.0
2020-06-27,175,16836,-802,97,1357,34716,5277273,-8.0,-104.0,8.0,61351.0
2020-06-28,174,16681,-155,98,1258,34738,5314619,1.0,-99.0,22.0,37346.0
2020-06-29,126,16496,-185,96,1216,34744,5341837,-2.0,-42.0,6.0,27218.0
2020-06-30,142,15563,-933,93,1183,34767,5390110,-3.0,-33.0,23.0,48273.0
2020-07-01,187,15255,-308,87,1112,34788,5445476,-6.0,-71.0,21.0,55366.0
2020-07-02,201,15060,-195,82,1045,34818,5498719,-5.0,-67.0,30.0,53243.0
2020-07-03,223,14884,-176,79,1035,34833,5548815,-3.0,-10.0,15.0,50096.0
2020-07-04,235,14621,-263,71,1011,34854,5600826,-8.0,-24.0,21.0,52011.0
2020-07-05,192,14642,21,74,1019,34861,5638288,3.0,8.0,7.0,37462.0
2020-07-06,208,14709,67,72,1018,34869,5660454,-2.0,-1.0,8.0,22166.0
2020-07-07,138,14242,-467,70,1010,34899,5703673,-2.0,-8.0,30.0,43219.0
2020-07-08,193,13595,-647,71,970,34914,5754116,1.0,-40.0,15.0,50443.0
2020-07-09,229,13459,-136,69,940,34926,5806668,-2.0,-30.0,12.0,52552.0
2020-07-10,276,13428,-31,65,909,34938,5854621,-4.0,-31.0,12.0,47953.0
2020-07-11,188,13303,-125,67,893,34945,5900552,2.0,-16.0,7.0,45931.0
2020-07-12,234,13179,-124,68,844,34954,5938811,1.0,-49.0,9.0,38259.0
2020-07-13,169,13157,-22,65,833,34967,5962744,-3.0,-11.0,13.0,23933.0
2020-07-14,114,12919,-238,60,837,34984,6004611,-5.0,4.0,17.0,41867.0
2020-07-15,163,12493,-426,57,854,34997,6053060,-3.0,17.0,13.0,48449.0
2020-07-16,230,12473,-20,53,803,35017,6103492,-4.0,-51.0,20.0,50432.0
2020-07-17,233,12456,-17,50,821,35028,6154259,-3.0,18.0,11.0,50767.0
2020-07-18,249,12368,-88,50,807,35042,6202524,0.0,-14.0,14.0,48265.0
2020-07-19,219,12440,72,49,792,35045,6238049,-1.0,-15.0,3.0,35525.0
2020-07-20,190,12404,-36,47,792,35058,6262302,-2.0,0.0,13.0,24253.0
