Date,Daily cases,Total positives,Total positives variation,Total intensive care,Total hospitalized,Total deaths,Tests,Daily intensive care,Daily hospitalized,Daily deaths,Daily tests
2020-12-21,10872,613582,-9178,2731,27876,69214,25217014,-12.0,-25.0,415.0,87889.0
2020-12-22,13318,605955,-7627,2687,27635,69842,25374719,-44.0,-241.0,628.0,157705.0
2020-12-23,14522,598816,-7139,2624,27170,70395,25558583,-63.0,-465.0,553.0,183864.0
2020-12-24,18040,593632,-5184,2589,26659,70900,25752360,-35.0,-511.0,505.0,193777.0
2020-12-25,19037,579886,-13746,2584,25986,71359,25904694,-5.0,-673.0,459.0,152334.0
2020-12-26,10431,580943,1057,2580,25892,71627,25986258,-4.0,-94.0,268.0,81564.0
2020-12-27,8913,581760,817,2580,26151,71925,26046137,0.0,259.0,298.0,59879.0
2020-12-28,8585,575221,-6539,2565,26497,72370,26114818,-15.0,346.0,445.0,68681.0
2020-12-29,11224,568728,-6493,2549,26211,73029,26243558,-16.0,-286.0,659.0,128740.0
2020-12-30,16202,564395,-4333,2528,26094,73604,26412603,-21.0,-117.0,575.0,169045.0
2020-12-31,23477,569896,5501,2555,25706,74159,26598607,27.0,-388.0,555.0,186004.0
2021-01-01,22211,574767,4871,2553,25375,74621,26756131,-2.0,-331.0,462.0,157524.0
2021-01-02,11831,577062,2295,2569,25517,74985,26823305,16.0,142.0,364.0,67174.0
2021-01-03,14245,576214,-848,2583,25658,75332,26926279,14.0,141.0,347.0,102974.0
2021-01-04,10800,570458,-5756,2579,25896,75680,27004272,-4.0,238.0,348.0,77993.0
2021-01-05,15378,569161,-1297,2569,25964,76329,27139378,-10.0,68.0,649.0,135106.0
2021-01-06,20331,568712,-449,2571,25745,76877,27317974,2.0,-219.0,548.0,178596.0
2021-01-07,18020,571055,2343,2587,25878,77291,27439249,16.0,133.0,414.0,121275.0
2021-01-08,17533,570389,-666,2587,25900,77911,27579516,0.0,22.0,620.0,140267.0
2021-01-09,19978,572842,2453,2593,25853,78394,27751635,6.0,-47.0,483.0,172119.0
2021-01-10,18627,579932,7090,2615,26042,78755,27891393,22.0,189.0,361.0,139758.0
2021-01-11,12532,575979,-3953,2642,26245,79203,27983049,27.0,203.0,448.0,91656.0
2021-01-12,14242,570040,-5939,2636,26348,79819,28124690,-6.0,103.0,616.0,141641.0
2021-01-13,15774,564774,-5266,2579,26104,80326,28300119,-57.0,-244.0,507.0,175429.0
2021-01-14,17246,561380,-3394,2557,25667,80848,28460704,-22.0,-437.0,522.0,160585.0
2021-01-15,16146,558068,-3312,2522,25363,81325,28734210,-35.0,-304.0,477.0,273506.0
2021-01-16,16310,557717,-351,2520,25304,81800,28995614,-2.0,-59.0,475.0,261404.0
2021-01-17,12545,553374,-4343,2503,25260,82177,29206692,-17.0,-44.0,377.0,211078.0
2021-01-18,8825,547059,-6315,2544,25428,82554,29365366,41.0,168.0,377.0,158674.0
2021-01-19,10497,535524,-11535,2487,25186,83157,29619436,-57.0,-242.0,603.0,254070.0
2021-01-20,13571,523553,-11971,2461,24930,83681,29899198,-26.0,-256.0,524.0,279762.0
2021-01-21,14078,516568,-6985,2418,24463,84202,30166765,-43.0,-467.0,521.0,267567.0
2021-01-22,13633,502053,-14515,2390,24081,84674,30431493,-28.0,-382.0,472.0,264728.0
2021-01-23,13331,498834,-3219,2386,23789,85162,30717824,-4.0,-292.0,488.0,286331.0
2021-01-24,11629,499278,444,2400,23709,85461,30934035,14.0,-80.0,299.0,216211.0
2021-01-25,8562,491630,-7648,2421,23845,85881,31060966,21.0,136.0,420.0,126931.0
2021-01-26,10593,482417,-9213,2372,23727,86422,31317253,-49.0,-118.0,541.0,256287.0
2021-01-27,15204,477969,-4448,2352,23513,86889,31611023,-20.0,-214.0,467.0,293770.0
2021-01-28,14372,474617,-3352,2288,23066,87381,31886602,-64.0,-447.0,492.0,275579.0
2021-01-29,13574,467824,-6793,2270,22667,87858,32155352,-18.0,-399.0,477.0,268750.0
2021-01-30,12715,463352,-4472,2218,22316,88279,32453362,-52.0,-351.0,421.0,298010.0
2021-01-31,11252,453968,-9384,2215,22311,88516,32666726,-3.0,-5.0,237.0,213364.0
2021-02-01,7925,447589,-6379,2252,22512,88845,32809145,37.0,201.0,329.0,142419.0
2021-02-02,9660,437765,-9824,2214,22531,89343,33053574,-38.0,19.0,498.0,244429.0
2021-02-03,13189,434722,-3043,2145,22216,89819,33332881,-69.0,-315.0,476.0,279307.0
2021-02-04,13659,430277,-4445,2151,21894,90241,33603023,6.0,-322.0,422.0,270142.0
2021-02-05,14218,429118,-1159,2142,21717,90618,33873530,-9.0,-177.0,377.0,270507.0
2021-02-06,13442,427034,-2084,2110,21518,91003,34155937,-32.0,-199.0,385.0,282407.0
2021-02-07,11641,427024,-10,2107,21373,91273,34362726,-3.0,-145.0,270.0,206789.0
2021-02-08,7970,419604,-7420,2143,21670,91580,34506996,36.0,297.0,307.0,144270.0
2021-02-09,10630,413967,-5637,2143,21655,92002,34781259,0.0,-15.0,422.0,274263.0
2021-02-10,12956,410111,-3856,2128,21408,92338,35092253,-15.0,-247.0,336.0,310994.0
2021-02-11,15146,405019,-5092,2126,21068,92729,35384786,-2.0,-340.0,391.0,292533.0
2021-02-12,13908,402174,-2845,2095,20831,93045,35672405,-31.0,-237.0,316.0,287619.0
2021-02-13,13532,401413,-761,2062,20562,93356,35962939,-33.0,-269.0,311.0,290534.0
2021-02-14,11068,402783,1370,2085,20534,93577,36168581,23.0,-28.0,221.0,205642.0
2021-02-15,7351,398098,-4685,2089,20604,93835,36347859,4.0,70.0,258.0,179278.0
2021-02-16,10386,393686,-4412,2074,20537,94171,36621878,-15.0,-67.0,336.0,274019.0
2021-02-17,12074,388864,-4822,2043,20317,94540,36916289,-31.0,-220.0,369.0,294411.0
2021-02-18,13762,384501,-4363,2045,20008,94882,37204747,2.0,-309.0,342.0,288458.0
2021-02-19,15479,382448,-2053,2059,19890,95235,37501875,14.0,-118.0,353.0,297128.0
2021-02-20,14931,384623,2175,2063,19788,95486,37807953,4.0,-102.0,251.0,306078.0
2021-02-21,13452,388895,4272,2094,19898,95718,38058939,31.0,110.0,232.0,250986.0
2021-02-22,9630,387903,-992,2118,20273,95992,38229611,24.0,375.0,274.0,170672.0
2021-02-23,13314,387948,45,2146,20441,96348,38533461,28.0,168.0,356.0,303850.0
2021-02-24,16424,389433,1485,2157,20374,96666,38873708,11.0,-67.0,318.0,340247.0
2021-02-25,19886,396143,6710,2168,20425,96974,39227412,11.0,51.0,308.0,353704.0
2021-02-26,20499,404664,8521,2194,20486,97227,39552816,26.0,61.0,253.0,325404.0
2021-02-27,18916,411966,7302,2216,20588,97507,39875863,22.0,102.0,280.0,323047.0
2021-02-28,17455,422367,10401,2231,20869,97699,40132887,15.0,281.0,192.0,257024.0
2021-03-01,13114,424333,1966,2289,21401,97945,40303520,58.0,532.0,246.0,170633.0
2021-03-02,17083,430996,6663,2327,21897,98288,40639503,38.0,496.0,343.0,335983.0
2021-03-03,20884,437421,6425,2411,22174,98635,40998387,84.0,277.0,347.0,358884.0
2021-03-04,22865,446439,9018,2475,22632,98974,41338022,64.0,458.0,339.0,339635.0
2021-03-05,24036,456470,10031,2525,22899,99271,41716485,50.0,267.0,297.0,378463.0
2021-03-06,23641,465812,9342,2571,23272,99578,42071509,46.0,373.0,307.0,355024.0
2021-03-07,20765,472862,7050,2605,23749,99785,42342845,34.0,477.0,207.0,271336.0
2021-03-08,13902,472533,-329,2700,24531,100103,42527529,95.0,782.0,318.0,184684.0
2021-03-09,19749,478883,6350,2756,25149,100479,42873501,56.0,618.0,376.0,345972.0
2021-03-10,22409,487074,8191,2827,25709,100811,43234541,71.0,560.0,332.0,361040.0
2021-03-11,25673,497350,10276,2859,26106,101184,43606758,32.0,397.0,373.0,372217.0
2021-03-12,26824,509317,11967,2914,26570,101564,43976394,55.0,464.0,380.0,369636.0
2021-03-13,26062,520061,10744,2982,27135,101881,44349338,68.0,565.0,317.0,372944.0
2021-03-14,21315,531266,11205,3082,27600,102145,44623304,100.0,465.0,264.0,273966.0
2021-03-15,15267,530357,-909,3157,28495,102499,44802319,75.0,895.0,354.0,179015.0
2021-03-16,20396,536115,5758,3256,29354,103001,45171694,99.0,859.0,502.0,369375.0
2021-03-17,23059,539008,2893,3317,29834,103432,45540778,61.0,480.0,431.0,369084.0
2021-03-18,24935,547510,8502,3333,30027,103855,45894515,16.0,193.0,423.0,353737.0
2021-03-19,25735,556539,9029,3364,30222,104241,46259337,31.0,195.0,386.0,364822.0
2021-03-20,23832,565453,8914,3387,30448,104642,46613817,23.0,226.0,401.0,354480.0
2021-03-21,20159,571672,6219,3448,30932,104942,46890903,61.0,484.0,300.0,277086.0
2021-03-22,13846,563067,-8605,3510,31559,105328,47060099,62.0,627.0,386.0,169196.0
2021-03-23,18765,560654,-2413,3546,31974,105879,47395288,36.0,415.0,551.0,335189.0
2021-03-24,21267,561308,654,3588,32026,106339,47759055,42.0,52.0,460.0,363767.0
2021-03-25,23798,562958,1650,3620,32044,106799,48108527,32.0,18.0,460.0,349472.0
2021-03-26,23987,566711,3753,3628,32100,107256,48463509,8.0,56.0,457.0,354982.0
2021-03-27,23776,571815,5104,3635,32256,107636,48820585,7.0,156.0,380.0,357076.0
2021-03-28,19611,573172,1357,3679,32380,107933,49093288,44.0,124.0,297.0,272703.0
2021-03-29,12916,565930,-7242,3721,32884,108350,49249985,42.0,504.0,417.0,156697.0
2021-03-30,16013,562765,-3165,3716,32947,108879,49551432,-5.0,63.0,529.0,301447.0
2021-03-31,22516,561053,-1712,3710,32890,109346,49902497,-6.0,-57.0,467.0,351065.0
2021-04-01,23649,563479,2426,3681,32630,109847,50258742,-29.0,-260.0,501.0,356245.0
2021-04-02,21932,565295,1816,3704,32408,110328,50589896,23.0,-222.0,481.0,331154.0
2021-04-03,21261,564855,-440,3714,32203,110704,50949110,10.0,-205.0,376.0,359214.0
2021-04-04,18025,569035,4180,3703,32135,111030,51200043,-11.0,-68.0,326.0,250933.0
2021-04-05,10680,570096,1061,3737,32522,111326,51302838,34.0,387.0,296.0,102795.0
2021-04-06,7767,555705,-14391,3743,33080,111747,51415800,6.0,558.0,421.0,112962.0
2021-04-07,13708,547837,-7868,3683,32999,112374,51755739,-60.0,-81.0,627.0,339939.0
2021-04-08,17221,544330,-3507,3663,32514,112861,52117901,-20.0,-485.0,487.0,362162.0
2021-04-09,18938,536361,-7969,3603,31749,113579,52466904,-60.0,-765.0,718.0,349003.0
2021-04-10,17567,533085,-3276,3588,31242,113923,52801766,-15.0,-507.0,344.0,334862.0
2021-04-11,15746,533005,-80,3585,30836,114254,53054866,-3.0,-406.0,331.0,253100.0
2021-04-12,9789,524417,-8588,3593,30922,114612,53245501,8.0,86.0,358.0,190635.0
2021-04-13,13447,519220,-5197,3526,30478,115088,53550491,-67.0,-444.0,476.0,304990.0
2021-04-14,16168,514660,-4560,3490,29859,115557,53885257,-36.0,-619.0,469.0,334766.0
2021-04-15,16974,510023,-4637,3417,29004,115937,54204890,-73.0,-855.0,380.0,319633.0
2021-04-16,15943,506738,-3285,3366,28109,116366,54532594,-51.0,-895.0,429.0,327704.0
2021-04-17,15370,505308,-1430,3340,27440,116676,54864328,-26.0,-669.0,310.0,331734.0
2021-04-18,12694,504611,-697,3311,26959,116927,55094444,-29.0,-481.0,251.0,230116.0
2021-04-19,8864,493489,-11122,3244,26986,117243,55241172,-67.0,27.0,316.0,146728.0
2021-04-20,12074,482715,-10774,3151,26406,117633,55535217,-93.0,-580.0,390.0,294045.0
2021-04-21,13844,475635,-7080,3076,25860,117997,55885251,-75.0,-546.0,364.0,350034.0
2021-04-22,16050,472196,-3439,3021,25115,118357,56250055,-55.0,-745.0,360.0,364804.0
2021-04-23,14761,465543,-6653,2979,24419,118699,56565755,-42.0,-696.0,342.0,315700.0
2021-04-24,13817,461448,-4095,2894,23865,119021,56886535,-85.0,-554.0,322.0,320780.0
2021-04-25,13158,461212,-236,2862,23524,119238,57126017,-32.0,-341.0,217.0,239482.0
2021-04-26,8444,452812,-8400,2849,23484,119539,57271836,-13.0,-40.0,301.0,145819.0
2021-04-27,10404,448149,-4663,2748,23060,119912,57574570,-101.0,-424.0,373.0,302734.0
2021-04-28,13385,442771,-5378,2711,22571,120256,57910906,-37.0,-489.0,344.0,336336.0
2021-04-29,14320,438709,-4062,2640,21991,120544,58240981,-71.0,-580.0,288.0,330075.0
2021-04-30,13446,436270,-2439,2583,21523,120807,58579752,-57.0,-468.0,263.0,338771.0
2021-05-01,12965,430542,-5728,2522,20903,121033,58957954,-61.0,-620.0,226.0,378202.0
2021-05-02,9148,430906,364,2524,20869,121177,59114826,2.0,-34.0,144.0,156872.0
2021-05-03,5948,423558,-7348,2490,20885,121433,59236655,-34.0,16.0,256.0,121829.0
2021-05-04,9116,413889,-9669,2423,20599,121738,59552161,-67.0,-286.0,305.0,315506.0
2021-05-05,10585,407129,-6760,2368,19888,122005,59879330,-55.0,-711.0,267.0,327169.0
2021-05-06,11807,402802,-4327,2308,19175,122263,60203970,-60.0,-713.0,258.0,324640.0
2021-05-07,10554,397564,-5238,2253,18584,122470,60532582,-55.0,-591.0,207.0,328612.0
2021-05-08,10176,390120,-7444,2211,18010,122694,60871018,-42.0,-574.0,224.0,338436.0
2021-05-09,8292,383854,-6266,2192,17612,122833,61097024,-19.0,-398.0,139.0,226006.0
2021-05-10,5080,373670,-10184,2158,17585,123031,61227024,-34.0,-27.0,198.0,130000.0
2021-05-11,6946,363859,-9811,2056,16993,123282,61513452,-102.0,-592.0,251.0,286428.0
2021-05-12,7852,352422,-11437,1992,16272,123544,61820196,-64.0,-721.0,262.0,306744.0
2021-05-13,8085,346008,-6414,1893,15501,123745,62107222,-99.0,-771.0,201.0,287026.0
2021-05-14,7567,339606,-6402,1860,14910,123927,62405408,-33.0,-591.0,182.0,298186.0
2021-05-15,6659,332830,-6776,1805,14298,124063,62700094,-55.0,-612.0,136.0,294686.0
2021-05-16,5753,328882,-3948,1779,13913,124156,62902667,-26.0,-385.0,93.0,202573.0
2021-05-17,3455,322891,-5991,1754,13778,124296,63021591,-25.0,-135.0,140.0,118924.0
2021-05-18,4452,315308,-7583,1689,13228,124497,63284455,-65.0,-550.0,201.0,262864.0
2021-05-19,5506,306730,-8578,1643,12661,124646,63571711,-46.0,-567.0,149.0,287256.0
2021-05-20,5741,299486,-7244,1544,11927,124810,63822748,-99.0,-734.0,164.0,251037.0
2021-05-21,5218,291788,-7698,1469,11394,125028,64092492,-75.0,-533.0,218.0,269744.0
2021-05-22,4717,283744,-8044,1430,10918,125153,64379095,-39.0,-476.0,125.0,286603.0
2021-05-23,3995,281092,-2652,1410,10571,125225,64558486,-20.0,-347.0,72.0,179391.0
2021-05-24,2490,276439,-4653,1382,10332,125335,64665967,-28.0,-239.0,110.0,107481.0
2021-05-25,3224,268145,-8294,1323,9880,125501,64918613,-59.0,-452.0,166.0,252646.0
2021-05-26,3937,260029,-8116,1278,9396,125622,65179575,-45.0,-484.0,121.0,260962.0
2021-05-27,4147,253193,-6836,1206,8913,125793,65423542,-72.0,-483.0,171.0,243967.0
2021-05-28,3738,246270,-6923,1142,8334,125919,65673453,-64.0,-579.0,126.0,249911.0
2021-05-29,3351,241966,-4304,1095,7895,126002,65920783,-47.0,-439.0,83.0,247330.0
2021-05-30,2949,238296,-3670,1061,7652,126046,66085278,-34.0,-243.0,44.0,164495.0
2021-05-31,1820,233674,-4622,1033,7515,126128,66172255,-28.0,-137.0,82.0,86977.0
2021-06-01,2483,225751,-7923,989,7181,126221,66394073,-44.0,-334.0,93.0,221818.0
2021-06-02,2897,210050,-15701,933,6791,126283,66620345,-56.0,-390.0,62.0,226272.0
2021-06-03,1968,205562,-4488,892,6609,126342,66717978,-41.0,-182.0,59.0,97633.0
2021-06-04,2557,200192,-5370,836,6324,126415,66938917,-56.0,-285.0,73.0,220939.0
2021-06-05,2436,195369,-4823,788,5981,126472,67177549,-48.0,-343.0,57.0,238632.0
2021-06-06,2275,192272,-3097,774,5737,126523,67327507,-14.0,-244.0,51.0,149958.0
2021-06-07,1273,188453,-3819,759,5669,126588,67412074,-15.0,-68.0,65.0,84567.0
2021-06-08,1896,181726,-6727,688,5373,126690,67632991,-71.0,-296.0,102.0,220917.0
2021-06-09,2199,174935,-6791,661,5043,126767,67851729,-27.0,-330.0,77.0,218738.0
2021-06-10,2079,169309,-5626,626,4779,126855,68039849,-35.0,-264.0,88.0,188120.0
2021-06-11,1901,165239,-4070,597,4473,126924,68257459,-29.0,-306.0,69.0,217610.0
2021-06-12,1723,162409,-2830,574,4229,126976,68470425,-23.0,-244.0,52.0,212966.0
2021-06-13,1390,160313,-2096,565,4107,127002,68604561,-9.0,-122.0,26.0,134136.0
2021-06-14,907,157790,-2523,536,4001,127038,68683489,-29.0,-106.0,36.0,78928.0
2021-06-15,1255,105906,-51884,504,3837,127101,68896197,-32.0,-164.0,63.0,212708.0
2021-06-16,1400,101855,-4051,471,3535,127153,69099370,-33.0,-302.0,52.0,203173.0
2021-06-17,1325,98608,-3247,444,3332,127190,69299685,-27.0,-203.0,37.0,200315.0
2021-06-18,1147,92072,-6536,416,3096,127225,69515711,-28.0,-236.0,35.0,216026.0
2021-06-19,1197,89150,-2922,394,2898,127253,69765699,-22.0,-198.0,28.0,249988.0
2021-06-20,881,87710,-1440,389,2833,127270,69916221,-5.0,-65.0,17.0,150522.0
2021-06-21,495,76853,-10857,385,2775,127291,69997973,-4.0,-58.0,21.0,81752.0
2021-06-22,835,72964,-3889,362,2651,127322,70190855,-23.0,-124.0,31.0,192882.0
2021-06-23,951,68619,-4345,344,2484,127334,70388886,-18.0,-167.0,12.0,198031.0
2021-06-24,927,62309,-6310,328,2355,127362,70577077,-16.0,-129.0,28.0,188191.0
2021-06-25,753,60235,-2074,306,2205,127418,70769618,-22.0,-150.0,56.0,192541.0
2021-06-26,838,57732,-2503,298,2069,127458,70994111,-8.0,-136.0,40.0,224493.0
2021-06-27,782,57162,-570,294,2037,127472,71131694,-4.0,-32.0,14.0,137583.0
2021-06-28,389,54682,-2480,289,2012,127500,71207555,-5.0,-25.0,28.0,75861.0
2021-06-29,679,52824,-1858,270,1946,127542,71398190,-19.0,-66.0,42.0,190635.0
2021-06-30,776,50441,-2383,247,1840,127566,71583206,-23.0,-106.0,24.0,185016.0
2021-07-01,882,49358,-1083,229,1761,127587,71771680,-18.0,-79.0,21.0,188474.0
2021-07-02,794,47779,-1579,213,1682,127615,71970918,-16.0,-79.0,28.0,199238.0
2021-07-03,932,45576,-2203,204,1598,127637,72199045,-9.0,-84.0,22.0,228127.0
2021-07-04,808,44664,-912,197,1561,127649,72340685,-7.0,-37.0,12.0,141640.0
2021-07-05,480,43531,-1133,191,1528,127680,72415334,-6.0,-33.0,31.0,74649.0
2021-07-06,907,42579,-952,187,1458,127704,72607758,-4.0,-70.0,24.0,192424.0
2021-07-07,1010,41840,-739,180,1414,127718,72785735,-7.0,-44.0,14.0,177977.0
2021-07-08,1394,41469,-371,180,1377,127731,72960587,0.0,-37.0,13.0,174852.0
2021-07-09,1390,41396,-73,169,1336,127756,73157509,-11.0,-41.0,25.0,196922.0
2021-07-10,1400,41015,-381,161,1308,127768,73365928,-8.0,-28.0,12.0,208419.0
2021-07-11,1391,41081,66,161,1295,127775,73509260,0.0,-13.0,7.0,143332.0
2021-07-12,888,40426,-655,158,1307,127788,73582831,-3.0,12.0,13.0,73571.0
2021-07-13,1534,40649,223,157,1285,127808,73775374,-1.0,-22.0,20.0,192543.0
2021-07-14,2153,41700,1051,151,1259,127831,73985973,-6.0,-26.0,23.0,210599.0
2021-07-15,2455,40900,-800,153,1242,127840,74176895,2.0,-17.0,9.0,190922.0
2021-07-16,2898,42714,1814,161,1249,127851,74382497,8.0,7.0,11.0,205602.0
2021-07-17,3121,43491,777,162,1273,127864,74627294,1.0,24.0,13.0,244797.0
2021-07-18,3127,46113,2622,156,1292,127867,74792563,-6.0,19.0,3.0,165269.0
2021-07-19,2072,47525,1412,162,1350,127874,74881652,6.0,58.0,7.0,89089.0
2021-07-20,3558,49310,1785,165,1359,127884,75100357,3.0,9.0,10.0,218705.0
2021-07-21,4259,51308,1998,158,1354,127905,75335454,-7.0,-5.0,21.0,235097.0
2021-07-22,5057,54866,3558,158,1392,127920,75555232,0.0,38.0,15.0,219778.0
2021-07-23,5143,58752,3886,155,1459,127937,75792867,-3.0,67.0,17.0,237635.0
2021-07-24,5140,62523,3771,172,1512,127942,76051796,17.0,53.0,5.0,258929.0
2021-07-25,4743,66257,3734,178,1570,127949,76228449,6.0,58.0,7.0,176653.0
2021-07-26,3117,68236,1979,182,1694,127971,76316696,4.0,124.0,22.0,88247.0
2021-07-27,4522,70310,2074,189,1800,127995,76558586,7.0,106.0,24.0,241890.0
2021-07-28,5696,74161,3851,183,1868,128010,76807058,-6.0,68.0,15.0,248472.0
2021-07-29,6171,78484,4323,194,1924,128029,77031848,11.0,56.0,19.0,224790.0
2021-07-30,6619,82962,4478,201,2013,128047,77279334,7.0,89.0,18.0,247486.0
2021-07-31,6513,87285,4323,214,2065,128063,77544194,13.0,52.0,16.0,264860.0
2021-08-01,5321,91350,4065,230,2184,128065,77711955,16.0,119.0,2.0,167761.0
2021-08-02,3190,93017,1667,249,2319,128088,77795178,19.0,135.0,23.0,83223.0
2021-08-03,4845,94216,1199,258,2454,128115,78004897,9.0,135.0,27.0,209719.0
2021-08-04,6596,97220,3004,260,2569,128136,78220645,2.0,115.0,21.0,215748.0
2021-08-05,7230,101046,3826,268,2677,128163,78432872,8.0,108.0,27.0,212227.0
2021-08-06,6599,104685,3639,277,2726,128187,78677529,9.0,49.0,24.0,244657.0
2021-08-07,6902,108535,3850,288,2821,128209,78971392,11.0,95.0,22.0,293863.0
2021-08-08,5735,112266,3731,299,2930,128220,79174903,11.0,109.0,11.0,203511.0
2021-08-09,4200,114855,2589,323,3109,128242,79277767,24.0,179.0,22.0,102864.0
2021-08-10,5636,116323,1468,322,3202,128273,79519533,-1.0,93.0,31.0,241766.0
2021-08-11,6968,118761,2438,337,3285,128304,79749572,15.0,83.0,31.0,230039.0
2021-08-12,7270,121285,2524,352,3327,128334,79966541,15.0,42.0,30.0,216969.0
2021-08-13,7409,124250,2965,369,3402,128379,80192027,17.0,75.0,45.0,225486.0
2021-08-14,7188,126466,2216,372,3473,128413,80446033,3.0,71.0,34.0,254006.0
2021-08-15,5664,128528,2062,384,3546,128432,80606903,12.0,73.0,19.0,160870.0
2021-08-16,3674,128696,168,404,3738,128456,80680924,20.0,192.0,24.0,74021.0
2021-08-17,5273,129116,420,423,3895,128510,80918997,19.0,157.0,54.0,238073.0
2021-08-18,7162,128782,-334,442,4001,128579,81145420,19.0,106.0,69.0,226423.0
2021-08-19,7260,130502,1720,460,4087,128634,81351951,18.0,86.0,55.0,206531.0
2021-08-20,7224,131462,960,455,4147,128683,81572607,-5.0,60.0,49.0,220656.0
2021-08-21,7470,133421,1959,466,4199,128728,81827825,11.0,52.0,45.0,255218.0
2021-08-22,5923,134938,1517,472,4239,128751,82003364,6.0,40.0,23.0,175539.0
2021-08-23,4168,135555,617,485,4413,128795,82104705,13.0,174.0,44.0,101341.0
2021-08-24,6076,135325,-230,504,4540,128855,82370951,19.0,127.0,60.0,266246.0
2021-08-25,7548,135724,399,499,4522,128914,82615371,-5.0,-18.0,59.0,244420.0
2021-08-26,7221,137057,1333,503,4562,128957,82836243,4.0,40.0,43.0,220872.0
2021-08-27,7826,138118,1061,511,4625,129002,83101723,8.0,63.0,45.0,265480.0
2021-08-28,6860,139428,1310,511,4622,129056,83395187,0.0,-3.0,54.0,293464.0
2021-08-29,5959,141047,1619,525,4658,129093,83618273,14.0,36.0,37.0,223086.0
2021-08-30,4257,141393,346,548,4812,129146,83728076,23.0,154.0,53.0,109803.0
2021-08-31,5498,137925,-3468,544,4796,129221,84035719,-4.0,-16.0,75.0,307643.0
2021-09-01,6503,136578,-1347,540,4771,129290,84339436,-4.0,-25.0,69.0,303717.0
2021-09-02,6761,136898,320,555,4760,129352,84632503,15.0,-11.0,62.0,293067.0
2021-09-03,6735,137025,127,556,4720,129410,84928897,1.0,-40.0,58.0,296394.0
2021-09-04,6157,137039,14,569,4773,129466,85260247,13.0,53.0,56.0,331350.0
2021-09-05,5315,136702,-337,572,4788,129515,85520003,3.0,15.0,49.0,259756.0
2021-09-06,3361,136020,-682,570,4872,129567,85654396,-2.0,84.0,52.0,134393.0
2021-09-07,4720,133787,-2233,563,4870,129638,85973261,-7.0,-2.0,71.0,318865.0
2021-09-08,5923,131581,-2206,564,4799,129707,86275241,1.0,-71.0,69.0,301980.0
2021-09-09,5522,129918,-1663,558,4788,129766,86566709,-6.0,-11.0,59.0,291468.0
2021-09-10,5621,128489,-1429,548,4712,129828,86852737,-10.0,-76.0,62.0,286028.0
2021-09-11,5193,127626,-863,547,4664,129885,87186478,-1.0,-48.0,57.0,333741.0
2021-09-12,4664,127334,-292,559,4672,129919,87453836,12.0,8.0,34.0,267358.0
2021-09-13,2800,125904,-1430,563,4763,129955,87573881,4.0,91.0,36.0,120045.0
2021-09-14,4021,122340,-3564,554,4719,130027,87892474,-9.0,-44.0,72.0,318593.0
2021-09-15,4830,118487,-3853,540,4668,130100,88210140,-14.0,-51.0,73.0,317666.0
2021-09-16,5117,116342,-2145,531,4549,130167,88516407,-9.0,-119.0,67.0,306267.0
2021-09-17,4552,114271,-2071,525,4514,130233,88800986,-6.0,-35.0,66.0,284579.0
2021-09-18,4578,113040,-1231,519,4477,130284,89156919,-6.0,-37.0,51.0,355933.0
2021-09-19,3838,113536,496,530,4459,130310,89420490,11.0,-18.0,26.0,263571.0
2021-09-20,2407,112514,-1022,523,4505,130354,89542931,-7.0,46.0,44.0,122441.0
2021-09-21,3377,109513,-3001,516,4453,130421,89873206,-7.0,-52.0,67.0,330275.0
2021-09-22,3970,106559,-2954,513,4309,130488,90166078,-3.0,-144.0,67.0,292872.0
2021-09-23,4061,105083,-1476,505,4155,130551,90477853,-8.0,-154.0,63.0,311775.0
2021-09-24,3797,103556,-1527,489,4042,130603,90765140,-16.0,-113.0,52.0,287287.0
2021-09-25,3525,102574,-982,481,3978,130653,91122631,-8.0,-64.0,50.0,357491.0
2021-09-26,3099,102244,-330,483,3918,130697,91398852,2.0,-60.0,44.0,276221.0
2021-09-27,1772,101080,-1164,488,3975,130742,91522929,5.0,57.0,45.0,124077.0
2021-09-28,2985,98872,-2208,459,3877,130807,91861354,-29.0,-98.0,65.0,338425.0
2021-09-29,3212,95979,-2893,450,3767,130870,92156806,-9.0,-110.0,63.0,295452.0
2021-09-30,3804,94308,-1671,440,3638,130921,92465642,-10.0,-129.0,51.0,308836.0
2021-10-01,3405,93652,-656,429,3547,130973,92759111,-11.0,-91.0,52.0,293469.0
2021-10-02,3312,92749,-903,432,3489,130998,93115007,3.0,-58.0,25.0,355896.0
2021-10-03,2968,92967,218,431,3422,131031,93400967,-1.0,-67.0,33.0,285960.0
2021-10-04,1612,92096,-871,437,3469,131068,93523181,6.0,47.0,37.0,122214.0
2021-10-05,2466,90299,-1797,433,3401,131118,93845463,-4.0,-68.0,50.0,322282.0
2021-10-06,3235,88247,-2052,415,3287,131157,94147236,-18.0,-114.0,39.0,301773.0
2021-10-07,2938,87173,-1074,403,3227,131198,94444592,-12.0,-60.0,41.0,297356.0
2021-10-08,3023,85926,-1247,383,3125,131228,94716158,-20.0,-102.0,30.0,271566.0
2021-10-09,2748,85302,-624,367,3059,131274,95061127,-16.0,-66.0,46.0,344969.0
2021-10-10,2278,84808,-494,364,3015,131301,95331171,-3.0,-44.0,27.0,270044.0
2021-10-11,1516,84106,-702,374,3062,131335,95445947,10.0,47.0,34.0,114776.0
