Model,Metric,Electricity_239_1,Electricity_239_3,Electricity_239_7
PINPOINT_1CONV,MAE,3.72,4.56,5.74
PINPOINT_1CONV,RMSE,5.69,6.57,8.05
PINPOINT_2CONV,MAE,3.92,4.83,5.67
PINPOINT_2CONV,RMSE,6.04,6.89,7.93
Prophet,MAE,5.69,5.81,5.98
Prophet,RMSE,7.61,7.74,7.93
ARIMA,MAE,3.75,4.48,5.12
ARIMA,RMSE,5.93,6.68,7.4
ARIMA_PP,MAE,3.75,4.49,5.12
ARIMA_PP,RMSE,5.93,6.69,7.4
Naive,MAE,3.84,4.67,5.8
Naive,RMSE,6.11,6.76,8.22
