Model,Metric,Electricity_132_1,Electricity_132_3,Electricity_132_7
PINPOINT_1CONV,MAE,2.8,2.83,2.79
PINPOINT_1CONV,RMSE,4.54,4.6,4.6
PINPOINT_2CONV,MAE,2.78,2.8,2.81
PINPOINT_2CONV,RMSE,4.6,4.64,4.66
Prophet,MAE,3.43,3.45,3.45
Prophet,RMSE,5.09,5.11,5.12
ARIMA,MAE,6.29,5.95,6.85
ARIMA,RMSE,7.62,7.33,8.11
ARIMA_PP,MAE,6.35,5.94,6.84
ARIMA_PP,RMSE,7.67,7.31,8.1
Naive,MAE,6.69,9.38,7.4
Naive,RMSE,10.34,12.63,11.03
